Count,Values,Labels,Misc,CPU-usage,Values-2,Units
0.905439762,259505762,ref-cycles,21595409,21.47,2580.002,M/sec
0.905439762,0,alignment-faults,100585648,100,0,K/sec
0.905439762,0,bpf-output,100585299,100,0,K/sec
0.905439762,0,context-switches,100584981,100,0,K/sec
0.905439762,100.232045,cpu-clock,100584672,100,,
0.905439762,0,cpu-migrations,100584334,100,0,K/sec
0.905439762,0,dummy,100584006,100,0,K/sec
0.905439762,0,emulation-faults,100583645,100,0,K/sec
0.905439762,0,major-faults,100583331,100,0,K/sec
0.905439762,0,minor-faults,100583008,100,0,K/sec
0.905439762,0,page-faults,100582653,100,0,K/sec
0.905439762,100.231813,task-clock,100582309,100,,
0.905439762,12851,L1-dcache-load-misses,21332818,21.21,0.01,of all L1-dcache hits
0.905439762,229913251,L1-dcache-loads,19554533,19.44,2285.794,M/sec
0.905439762,120230981,L1-dcache-stores,7111536,7.07,1195.334,M/sec
0.905439762,1503,L1-icache-load-misses,7111854,7.07,,
0.905439762,0,LLC-load-misses,7110098,7.07,0,of all LL-cache hits
0.905439762,100,LLC-loads,10666302,10.61,0.994,K/sec
0.905439762,0,LLC-store-misses,7111764,7.07,0,K/sec
0.905439762,0,LLC-stores,7110648,7.07,0,K/sec
0.905439762,23837,branch-load-misses,10665848,10.61,0.237,M/sec
0.905439762,150229989,branch-loads,14221817,14.14,1493.584,M/sec
0.905439762,0,dTLB-load-misses,14221467,14.14,0,of all dTLB cache hits
0.905439762,229834986,dTLB-loads,12444259,12.37,2285.016,M/sec
0.905439762,0,dTLB-store-misses,7111385,7.07,0,K/sec
0.905439762,120080249,dTLB-stores,7111253,7.07,1193.836,M/sec
0.905439762,0,iTLB-load-misses,7110977,7.07,0,of all iTLB cache hits
0.905439762,0,iTLB-loads,7111286,7.07,0,K/sec
0.905439762,0,node-load-misses,10666600,10.61,0,K/sec
0.905439762,6,node-loads,14222195,14.14,0.06,K/sec
0.905439762,0,node-store-misses,7111044,7.07,0,K/sec
0.905439762,0,node-stores,7110621,7.07,0,K/sec
1.005663135,150230604,branches,10553146,10.5,1494.131,M/sec
1.005663135,23828,branch-misses,14152334,14.07,0.02,of all branches
1.005663135,9987142,bus-cycles,14152346,14.07,99.328,M/sec
1.005663135,3034,cache-misses,14294036,14.22,225.878,of all cache refs
1.005663135,3086,cache-references,14399901,14.32,0.031,M/sec
1.005663135,259436904,cycles,14399640,14.32,2.58,GHz
1.005663135,744569614,instructions,17999685,17.9,2.86,insn per cycle
1.005663135,259508878,ref-cycles,21599320,21.48,2580.967,M/sec
1.005663135,0,alignment-faults,100548848,100,0,K/sec
1.005663135,0,bpf-output,100548593,100,0,K/sec
1.005663135,0,context-switches,100548312,100,0,K/sec
1.005663135,100.218566,cpu-clock,100548062,100,,
1.005663135,0,cpu-migrations,100547786,100,0,K/sec
1.005663135,0,dummy,100547524,100,0,K/sec
1.005663135,0,emulation-faults,100547228,100,0,K/sec
1.005663135,0,major-faults,100546992,100,0,K/sec
1.005663135,0,minor-faults,100546739,100,0,K/sec
1.005663135,0,page-faults,100546438,100,0,K/sec
1.005663135,100.220518,task-clock,100546130,100,,
1.005663135,12533,L1-dcache-load-misses,21599313,21.48,0.01,of all L1-dcache hits
1.005663135,229778788,L1-dcache-loads,19999048,19.89,2285.284,M/sec
1.005663135,120129623,L1-dcache-stores,7200318,7.16,1194.759,M/sec
1.005663135,1528,L1-icache-load-misses,7200624,7.16,,
1.005663135,0,LLC-load-misses,7199112,7.16,0,of all LL-cache hits
1.005663135,718,LLC-loads,10799627,10.74,0.007,M/sec
1.005663135,0,LLC-store-misses,7200505,7.16,0,K/sec
1.005663135,13,LLC-stores,7199596,7.16,0.129,K/sec
1.005663135,23803,branch-load-misses,10799238,10.74,0.237,M/sec
1.005663135,150283965,branch-loads,14399605,14.32,1494.662,M/sec
1.005663135,0,dTLB-load-misses,14399660,14.32,0,of all dTLB cache hits
1.005663135,229815456,dTLB-loads,12800047,12.73,2285.649,M/sec
